Reaction,Target_Nucleus,Target_Z,Target_N,Target_Mass_A,Projectile,Compound_Nucleus,Compound_A,Compound_Z,Neutron_Excess,Isospin_Tz,Reduced_Mass_mu,Coulomb_Barrier_MeV,Gamow_Peak_E0_MeV,Gamow_Window_dE0_MeV,Energy_c.m._MeV,Sommerfeld_eta,Gamow_Factor_Exp_2pi_eta,S_Factor_S_E_keV_b,Cross_Section_sigma_nb,S0_Experimental_keV_b,S0_Exp_Uncertainty,S0_Theoretical_EFT_keV_b,ML_Polynomial_Reg_S0,ML_Cubic_Spline_S0,ML_Power_Law_S0,PCA_Component_1,PCA_Component_2,tSNE_Component_1,tSNE_Component_2,Network_Degree_Centrality
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.4529,0.3421,1.1652e-01,0.5597,4.4892e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.4822,0.3387,1.1904e-01,0.5597,4.4953e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.5114,0.3354,1.2152e-01,0.5597,4.5005e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.5407,0.3322,1.2399e-01,0.5597,4.5047e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.5699,0.3291,1.2644e-01,0.5597,4.5079e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.5992,0.3261,1.2887e-01,0.5597,4.5103e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.6284,0.3232,1.3127e-01,0.5597,4.5119e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.6576,0.3203,1.3364e-01,0.5597,4.5127e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.6869,0.3175,1.3601e-01,0.5597,4.5128e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.7161,0.3148,1.3835e-01,0.5597,4.5123e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.7454,0.3121,1.4068e-01,0.5597,4.5111e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.7746,0.3096,1.4297e-01,0.5597,4.5093e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.8039,0.307,1.4526e-01,0.5597,4.5069e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.8331,0.3046,1.4752e-01,0.5597,4.5040e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.8624,0.3022,1.4976e-01,0.5597,4.5006e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.8916,0.2998,1.5198e-01,0.5597,4.4968e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.9208,0.2976,1.5418e-01,0.5597,4.4925e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.9501,0.2953,1.5637e-01,0.5597,4.4878e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,1.9793,0.2931,1.5854e-01,0.5597,4.4827e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.0086,0.291,1.6069e-01,0.5597,4.4772e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.0378,0.2889,1.6282e-01,0.5596,4.4714e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.0671,0.2868,1.6493e-01,0.5596,4.4653e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.0963,0.2848,1.6702e-01,0.5596,4.4589e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.1255,0.2829,1.6909e-01,0.5596,4.4522e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.1548,0.2809,1.7116e-01,0.5596,4.4451e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.184,0.2791,1.7320e-01,0.5596,4.4379e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.2133,0.2772,1.7522e-01,0.5596,4.4304e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.2425,0.2754,1.7723e-01,0.5596,4.4227e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.2718,0.2736,1.7922e-01,0.5596,4.4148e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.301,0.2719,1.8120e-01,0.5596,4.4067e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.3303,0.2701,1.8316e-01,0.5596,4.3984e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.3595,0.2685,1.8510e-01,0.5596,4.3899e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.3887,0.2668,1.8702e-01,0.5596,4.3813e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.418,0.2652,1.8894e-01,0.5596,4.3725e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.4472,0.2636,1.9083e-01,0.5596,4.3635e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.4765,0.2621,1.9272e-01,0.5596,4.3545e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.5057,0.2605,1.9458e-01,0.5596,4.3453e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.535,0.259,1.9643e-01,0.5596,4.3360e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.5642,0.2575,1.9827e-01,0.5596,4.3266e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.5934,0.2561,2.0009e-01,0.5596,4.3171e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.6227,0.2546,2.0190e-01,0.5595,4.3075e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.6519,0.2532,2.0369e-01,0.5595,4.2978e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.6812,0.2519,2.0547e-01,0.5595,4.2880e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.7104,0.2505,2.0724e-01,0.5595,4.2782e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.7397,0.2491,2.0899e-01,0.5595,4.2683e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.7689,0.2478,2.1073e-01,0.5595,4.2583e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.7982,0.2465,2.1246e-01,0.5595,4.2483e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.8274,0.2453,2.1417e-01,0.5595,4.2382e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.8566,0.244,2.1587e-01,0.5595,4.2281e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.8859,0.2428,2.1756e-01,0.5595,4.2179e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.9151,0.2415,2.1923e-01,0.5595,4.2077e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.9444,0.2403,2.2090e-01,0.5595,4.1975e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,2.9736,0.2391,2.2255e-01,0.5595,4.1872e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.0029,0.238,2.2419e-01,0.5595,4.1769e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.0321,0.2368,2.2581e-01,0.5595,4.1666e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.0613,0.2357,2.2742e-01,0.5595,4.1563e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.0906,0.2346,2.2903e-01,0.5595,4.1459e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.1198,0.2335,2.3062e-01,0.5595,4.1356e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.1491,0.2324,2.3220e-01,0.5595,4.1252e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.1783,0.2313,2.3377e-01,0.5594,4.1148e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.2076,0.2303,2.3533e-01,0.5594,4.1044e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.2368,0.2292,2.3687e-01,0.5594,4.0940e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.2661,0.2282,2.3841e-01,0.5594,4.0836e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.2953,0.2272,2.3993e-01,0.5594,4.0733e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.3245,0.2262,2.4145e-01,0.5594,4.0629e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.3538,0.2252,2.4295e-01,0.5594,4.0525e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.383,0.2242,2.4444e-01,0.5594,4.0421e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.4123,0.2232,2.4593e-01,0.5594,4.0318e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.4415,0.2223,2.4740e-01,0.5594,4.0214e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.4708,0.2214,2.4887e-01,0.5594,4.0111e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"3H(alpha, gamma)7Li",3H,1,2,3,a,73H,7,3,1,0.5,1.7143,0.792,0.0141,0.0098,3.5,0.2204,2.5032e-01,0.5594,4.0008e+07,0.56,0.02,0.56,0.5572,0.56,0.5499,-0.9933,0.0429,-5.1294,6.6,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.02,3.125,2.9693e-09,0.5,7.4233e+01,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.0492,1.9924,3.6573e-06,0.5,3.7167e+04,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.0785,1.5774,4.9635e-05,0.5,3.1613e+05,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.1077,1.3467,2.1150e-04,0.5,9.8184e+05,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.137,1.194,5.5191e-04,0.5,2.0142e+06,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.1662,1.084,1.1013e-03,0.5,3.3129e+06,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.1955,0.9995,1.8731e-03,0.5,4.7901e+06,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.2247,0.9323,2.8572e-03,0.4999,6.3572e+06,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.2539,0.8771,4.0430e-03,0.4999,7.9608e+06,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.2832,0.8305,5.4186e-03,0.4999,9.5655e+06,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.3124,0.7907,6.9565e-03,0.4999,1.1132e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.3417,0.756,8.6490e-03,0.4999,1.2654e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.3709,0.7257,1.0467e-02,0.4999,1.4109e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.4002,0.6986,1.2408e-02,0.4999,1.5500e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.4294,0.6744,1.4443e-02,0.4999,1.6815e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.4587,0.6525,1.6573e-02,0.4999,1.8062e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.4879,0.6327,1.8772e-02,0.4999,1.9233e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.5171,0.6146,2.1036e-02,0.4999,2.0336e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.5464,0.5979,2.3364e-02,0.4999,2.1375e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.5756,0.5825,2.5732e-02,0.4999,2.2346e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.6049,0.5682,2.8148e-02,0.4999,2.3260e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.6341,0.555,3.0589e-02,0.4999,2.4113e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.6634,0.5426,3.3067e-02,0.4999,2.4915e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.6926,0.531,3.5558e-02,0.4998,2.5662e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.7218,0.5202,3.8067e-02,0.4998,2.6361e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
"7Li(p, gamma)8Be",7Li,3,4,7,p,87Li,8,4,0,0.0,0.875,1.236,0.0148,0.0101,0.7511,0.5099,4.0599e-02,0.4998,2.7017e+07,0.5,0.05,0.5,0.4975,0.5,0.491,-0.9785,0.05,-3.326,4.8,0.32
